customer_id,name,email,city,registration_date
1,Cliente_1,cliente1@bankmail.com,Piura,2020-01-15
2,Cliente_2,cliente2@bankmail.com,Trujillo,2020-03-05
3,Cliente_3,cliente3@bankmail.com,Arequipa,2021-06-04
4,Cliente_4,cliente4@bankmail.com,Trujillo,2023-09-29
5,Cliente_5,cliente5@bankmail.com,Trujillo,2023-02-26
6,Cliente_6,cliente6@bankmail.com,Cusco,2021-10-09
7,Cliente_7,cliente7@bankmail.com,Arequipa,2022-12-22
8,Cliente_8,cliente8@bankmail.com,Arequipa,2023-03-08
9,Cliente_9,cliente9@bankmail.com,Arequipa,2021-08-15
10,Cliente_10,cliente10@bankmail.com,Trujillo,2021-01-26
11,Cliente_11,cliente11@bankmail.com,Piura,2021-02-22
12,Cliente_12,cliente12@bankmail.com,Arequipa,2020-10-15
13,Cliente_13,cliente13@bankmail.com,Iquitos,2021-01-13
14,Cliente_14,cliente14@bankmail.com,Trujillo,2020-08-18
15,Cliente_15,cliente15@bankmail.com,Cusco,2022-10-14
16,Cliente_16,cliente16@bankmail.com,Piura,2020-02-10
17,Cliente_17,cliente17@bankmail.com,Iquitos,2022-11-17
18,Cliente_18,cliente18@bankmail.com,Iquitos,2020-05-14
19,Cliente_19,cliente19@bankmail.com,Cusco,2020-07-19
20,Cliente_20,cliente20@bankmail.com,Piura,2022-02-18
21,Cliente_21,cliente21@bankmail.com,Trujillo,2022-07-18
22,Cliente_22,cliente22@bankmail.com,Lima,2022-11-22
23,Cliente_23,cliente23@bankmail.com,Piura,2022-12-07
24,Cliente_24,cliente24@bankmail.com,Cusco,2021-05-17
25,Cliente_25,cliente25@bankmail.com,Iquitos,2021-02-10
26,Cliente_26,cliente26@bankmail.com,Trujillo,2022-03-15
27,Cliente_27,cliente27@bankmail.com,Piura,2020-04-08
28,Cliente_28,cliente28@bankmail.com,Lima,2021-11-14
29,Cliente_29,cliente29@bankmail.com,Lima,2021-12-26
30,Cliente_30,cliente30@bankmail.com,Arequipa,2022-08-18
31,Cliente_31,cliente31@bankmail.com,Arequipa,2021-09-04
32,Cliente_32,cliente32@bankmail.com,Cusco,2021-10-04
33,Cliente_33,cliente33@bankmail.com,Piura,2022-10-25
34,Cliente_34,cliente34@bankmail.com,Piura,2023-05-26
35,Cliente_35,cliente35@bankmail.com,Iquitos,2021-05-17
36,Cliente_36,cliente36@bankmail.com,Iquitos,2022-02-05
37,Cliente_37,cliente37@bankmail.com,Iquitos,2021-02-01
38,Cliente_38,cliente38@bankmail.com,Arequipa,2022-05-20
39,Cliente_39,cliente39@bankmail.com,Piura,2022-03-05
40,Cliente_40,cliente40@bankmail.com,Piura,2021-01-27
41,Cliente_41,cliente41@bankmail.com,Lima,2020-07-25
42,Cliente_42,cliente42@bankmail.com,Arequipa,2022-11-04
43,Cliente_43,cliente43@bankmail.com,Trujillo,2022-06-10
44,Cliente_44,cliente44@bankmail.com,Arequipa,2022-05-13
45,Cliente_45,cliente45@bankmail.com,Trujillo,2022-01-12
46,Cliente_46,cliente46@bankmail.com,Lima,2023-06-18
47,Cliente_47,cliente47@bankmail.com,Cusco,2021-07-17
48,Cliente_48,cliente48@bankmail.com,Piura,2022-10-17
49,Cliente_49,cliente49@bankmail.com,Lima,2020-04-05
50,Cliente_50,cliente50@bankmail.com,Piura,2021-04-29
51,Cliente_51,cliente51@bankmail.com,Iquitos,2023-12-01
52,Cliente_52,cliente52@bankmail.com,Cusco,2020-08-18
53,Cliente_53,cliente53@bankmail.com,Cusco,2022-01-18
54,Cliente_54,cliente54@bankmail.com,Lima,2023-04-09
55,Cliente_55,cliente55@bankmail.com,Cusco,2021-06-24
56,Cliente_56,cliente56@bankmail.com,Trujillo,2022-11-25
57,Cliente_57,cliente57@bankmail.com,Cusco,2021-06-08
58,Cliente_58,cliente58@bankmail.com,Piura,2023-03-29
59,Cliente_59,cliente59@bankmail.com,Piura,2023-06-20
60,Cliente_60,cliente60@bankmail.com,Piura,2023-01-14
61,Cliente_61,cliente61@bankmail.com,Piura,2021-07-31
62,Cliente_62,cliente62@bankmail.com,Trujillo,2021-11-12
63,Cliente_63,cliente63@bankmail.com,Arequipa,2021-07-10
64,Cliente_64,cliente64@bankmail.com,Iquitos,2022-10-09
65,Cliente_65,cliente65@bankmail.com,Lima,2021-10-07
66,Cliente_66,cliente66@bankmail.com,Piura,2022-03-06
67,Cliente_67,cliente67@bankmail.com,Cusco,2022-11-17
68,Cliente_68,cliente68@bankmail.com,Piura,2023-09-25
69,Cliente_69,cliente69@bankmail.com,Cusco,2023-09-16
70,Cliente_70,cliente70@bankmail.com,Iquitos,2023-10-03
71,Cliente_71,cliente71@bankmail.com,Iquitos,2023-06-08
72,Cliente_72,cliente72@bankmail.com,Iquitos,2020-07-08
73,Cliente_73,cliente73@bankmail.com,Cusco,2023-06-02
74,Cliente_74,cliente74@bankmail.com,Piura,2023-11-09
75,Cliente_75,cliente75@bankmail.com,Iquitos,2023-11-01
76,Cliente_76,cliente76@bankmail.com,Trujillo,2023-07-30
77,Cliente_77,cliente77@bankmail.com,Cusco,2021-09-24
78,Cliente_78,cliente78@bankmail.com,Cusco,2021-09-19
79,Cliente_79,cliente79@bankmail.com,Piura,2022-08-30
80,Cliente_80,cliente80@bankmail.com,Cusco,2023-07-06
81,Cliente_81,cliente81@bankmail.com,Cusco,2023-10-14
82,Cliente_82,cliente82@bankmail.com,Iquitos,2021-12-10
83,Cliente_83,cliente83@bankmail.com,Piura,2023-12-05
84,Cliente_84,cliente84@bankmail.com,Iquitos,2021-10-10
85,Cliente_85,cliente85@bankmail.com,Iquitos,2020-11-13
86,Cliente_86,cliente86@bankmail.com,Piura,2023-06-02
87,Cliente_87,cliente87@bankmail.com,Lima,2023-06-11
88,Cliente_88,cliente88@bankmail.com,Iquitos,2021-11-14
89,Cliente_89,cliente89@bankmail.com,Trujillo,2021-10-25
90,Cliente_90,cliente90@bankmail.com,Trujillo,2023-10-29
91,Cliente_91,cliente91@bankmail.com,Cusco,2023-06-10
92,Cliente_92,cliente92@bankmail.com,Trujillo,2023-02-10
93,Cliente_93,cliente93@bankmail.com,Cusco,2021-03-17
94,Cliente_94,cliente94@bankmail.com,Lima,2021-07-17
95,Cliente_95,cliente95@bankmail.com,Piura,2023-07-15
96,Cliente_96,cliente96@bankmail.com,Piura,2023-11-10
97,Cliente_97,cliente97@bankmail.com,Piura,2023-11-11
98,Cliente_98,cliente98@bankmail.com,Trujillo,2023-02-10
99,Cliente_99,cliente99@bankmail.com,Lima,2022-08-09
100,Cliente_100,cliente100@bankmail.com,Trujillo,2023-01-09
